stone_id,name,runic,transliteration,translation,page_url,image_url
hnias,hnias - runfont,"ᚼᚾᛁᛅᛋ
ᚠᚢᚦᚬᚱᚴ ᛬ ᚼᚾᛁᛅᛋ ᛬ ᛏᛒᛘᛚᛦ",,,https://www.christerhamp.se/runor/hnias.html,https://www.christerhamp.se/runor/hnias-1.gif
DK Bl 1,DK Bl 1 - Blekinge: Åryd-sten,,fuþorkeniastblm,-,https://www.christerhamp.se/runor/gamla/dk/dkbl1.html,https://www.christerhamp.se/runor/gamla/dk/dkbl1s.jpg
DK Bl 3,DK Bl 3 - Blekinge: Stentoften-sten,,niu hAborumR | niu hagestumR | hAþuwolAfR gAf j | hAriwolAfR (m)A--u snuh-e | hideRrunono fe(l)(A)h ekA h ed|erA ginoronoR herAmAlAsAR ArAgeu we(l)AdudsA þAt Side B bAriutiþ,"Med nio bockar och nio hingstar gav Hådulv godår. Herulv ... Himmelglansrunraden döljer jag här, kraftrunor. Ständigt med arghet, till död genom trolldom den som bryter det [minnesmärket]",https://www.christerhamp.se/runor/gamla/dk/dkbl3.html,https://www.christerhamp.se/runor/gamla/dk/dkbl3-1s.jpg
DK Bl 4,DK Bl 4 - Blekinge: Istaby,,Afatz hAriwulafa ¶ hAţuwulafz hAeruwulafiz hAţuwulafz hAeruwulafiz ¶ Afatz hAriwulafa warAit runAz ţAiAz,"Hĺdulf, Hjorulfs frände, ristade dessa runor till minne av Härjulv",https://www.christerhamp.se/runor/gamla/dk/dkbl4.html,https://www.christerhamp.se/runor/gamla/dk/dkbl4s.jpg
DK Bl 5,DK Bl 5 - Blekinge: Sölvesborg-sten,,urti : (w)Aþ- ...|- : ąsM=ut (:) sunu sin :,"Vade gjorde [stenen efter] Asmund, sin son",https://www.christerhamp.se/runor/gamla/dk/dkbl5.html,https://www.christerhamp.se/runor/gamla/dk/dkbl5s.jpg
DK Bl 6,DK Bl 6 - Blekinge: Björketorp,,,"Mäktiga runors hemlighet dolde jag här, kraftfulla runor. Den som bryter detta minnesmärke ska ständigt plågas av arghet. Svekfull död ska drabba honom. Jag spår fördärv",https://www.christerhamp.se/runor/gamla/dk/dkbl6.html,https://www.christerhamp.se/runor/gamla/dk/dkbl6-1s.jpg
DK Bl 8,DK Bl 8 - Blekinge: Lösen-sten 1,,ødmar : ok : reinmod,Ödmar och Reginmod,https://www.christerhamp.se/runor/gamla/dk/dkbl8.html,https://www.christerhamp.se/runor/gamla/dk/dkbl8.jpg
DK Bl 10,DK Bl 10 - Blekinge: Lösen-sten 3,,[ANO þNI M|CCCX (i) asio (m)i) lo](t) gøræ þen(æ) [siææn | aaeiokR | þusi]n au- føþø[ir urkræiæeer],I Herrens år 1310 i Åsjö Mi lät göra denna sten och fader ...,https://www.christerhamp.se/runor/gamla/dk/dkbl10.html,https://www.christerhamp.se/runor/gamla/dk/dkbl10.jpg
DK Bl 12,DK Bl 12 - Blekinge: Sturkö-sten,,skibarR : kuþis : raisþ... stin,Gudes skeppare reste ... sten,https://www.christerhamp.se/runor/gamla/dk/dkbl12.html,https://www.christerhamp.se/runor/gamla/dk/dkbl12s.jpg
DR BR 75,DR BR 75 - Blekinge: Tjurkö,,wurte runoz an walhakurne ** heldaz kunimudiu ***,Heldaz skrev runorna på guldet åt Kunimunduz,https://www.christerhamp.se/runor/gamla/dr/drbr75.html,https://www.christerhamp.se/runor/gamla/dr/drbr75s.jpg
Bo Hoga,Bo Hoga - Bohuslän: Hoga,,HauR/iauR i * am * tain won/þon iar o mul=a *,Hor / Jor i Ar gjorde stenen här på mulen,https://www.christerhamp.se/runor/gamla/bo/bohoga.html,https://www.christerhamp.se/runor/gamla/bo/bohogas1.jpg
Bo Kalleby,"Bo Kalleby - Bohuslän: Kalleby, Tanum",,₫rawijan * haitinaz was,-,https://www.christerhamp.se/runor/gamla/bo/bokalleby.html,https://www.christerhamp.se/runor/gamla/bo/bokallebys.jpg
Bo NIYR 1,Bo NIYR 1 - Bohuslðn: Brastads kyrka,,ma=ria mÌr h...e ±Ìim er ±ena stÌin ker±e,Jungfru Maria hjðlpe honom som gjorde denna sten,https://www.christerhamp.se/runor/gamla/bo/boniyr1.html,https://www.christerhamp.se/runor/gamla/bo/boniyr1.jpg
Bo NIYR 2,Bo NIYR 2 - Bohuslän: Kareby kyrka,,ra₫e sa er kan namn orklaski k=r=a=k,Läs den som kan namnet Torbjörn Krak,https://www.christerhamp.se/runor/gamla/bo/boniyr2.html,https://www.christerhamp.se/runor/gamla/bo/boniyr2s.jpg
Bo NIYR 3,Bo NIYR 3 - Bohuslän: Norums kyrka,,svæn : kærðe (m),Sven gjorde m[ig],https://www.christerhamp.se/runor/gamla/bo/boniyr3.html,https://www.christerhamp.se/runor/gamla/bo/boniyr3.jpg
